id,licenze_rivista
http://www.wikidata.org/entity/Q33144512,
http://www.wikidata.org/entity/Q33144721,
http://www.wikidata.org/entity/Q36464134,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q36464142,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q36464146,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q36484095,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q36484102,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q36484107,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q36484116,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q36484122,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q36484126,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q36484132,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q36484137,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q36484143,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q36484148,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q36484157,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q36484160,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q36484165,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q36484169,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q36484173,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q36484177,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q36484182,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q36484194,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q36484198,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q36484219,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q48625754,
http://www.wikidata.org/entity/Q56736038,Creative Commons Attribution-ShareAlike; Creative Commons Attribution-NonCommercial-NoDerivatives; Creative Commons Attribution-ShareAlike 4.0 International
http://www.wikidata.org/entity/Q57976823,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q58124093,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q58302558,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q58349819,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q58350077,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q58356273,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q58356286,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q58356899,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q58379186,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q58379187,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q58379188,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q58387646,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q58387647,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q58387650,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q58387648,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q58424166,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q58670918,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q58670922,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q58670923,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q58670920,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q58670927,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q58670925,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q58670929,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q58670935,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q58670932,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q58670933,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q58670939,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q58670937,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q58670940,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q58773238,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q58773236,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q58773243,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q58773241,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q58773247,Creative Commons Attribution-NonCommercial-NoDerivatives
http://www.wikidata.org/entity/Q58773245,Creative Commons Attribution-NonCommercial-NoDerivatives
